,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,santa cruz,17.49,120.43,77.41,87,99,4.85,PH,1602452529
1,pacifica,37.61,-122.49,69.01,56,1,17.22,US,1602452446
2,impfondo,1.64,18.07,70.23,91,97,2.93,CG,1602452529
3,nome,64.5,-165.41,42.8,56,75,6.93,US,1602452529
4,thompson,55.74,-97.86,48.2,76,75,4.7,CA,1602452340
5,jamestown,42.1,-79.24,66.99,63,90,5.82,US,1602452323
6,codrington,-38.27,141.97,54.48,80,27,12.88,AU,1602452530
7,albany,42.6,-73.97,54.0,44,100,4.7,US,1602452530
8,ahipara,-35.17,173.17,61.14,87,98,11.34,NZ,1602452675
9,kutum,14.2,24.67,79.25,41,47,2.51,SD,1602452675
10,phonhong,18.5,102.42,71.82,90,100,1.68,LA,1602452676
11,ihosy,-22.4,46.12,71.13,62,1,2.93,MG,1602452676
12,praya,14.92,-23.51,78.8,78,20,12.75,CV,1602452676
13,rio grande,38.3,21.78,50.0,92,0,3.53,GR,1602452676
14,touros,-5.2,-35.46,77.0,78,0,5.82,BR,1602452676
15,belluno,46.15,12.22,50.0,91,100,1.01,IT,1602452676
16,new norfolk,6.65,-10.59,73.96,96,100,2.1,LR,1602452676
17,castro,-24.79,-50.01,60.3,73,0,6.76,BR,1602452676
18,norman wells,35.22,-97.44,91.99,38,1,16.11,US,1602452677
19,hermanus,-34.42,19.23,55.99,69,46,5.99,ZA,1602452677
20,taree,-31.9,152.47,59.0,72,75,5.82,AU,1602452677
21,baruun-urt,46.68,113.28,24.39,79,5,6.62,MN,1602452677
22,hualmay,-11.1,-77.61,66.33,74,8,8.52,PE,1602452677
23,yellowknife,62.46,-114.35,35.6,80,90,13.87,CA,1602452677
24,rikitea,-23.12,-134.97,73.94,78,12,11.9,PF,1602452677
25,toowoomba,-27.55,151.97,62.6,82,90,10.29,AU,1602452470
26,tuktoyaktuk,69.45,-133.04,28.4,86,90,23.04,CA,1602452677
27,riyadh,24.69,46.72,69.8,26,0,4.7,SA,1602452678
28,sabha,27.04,14.43,79.41,33,100,9.64,LY,1602452678
29,sao joao da barra,20.51,76.21,69.67,80,100,5.01,IN,1602452678
30,puerto ayora,36.59,-6.23,66.2,88,0,2.24,ES,1602452678
31,cape town,-36.41,-71.9,77.0,33,0,13.87,CL,1602452678
32,chokurdakh,70.63,147.92,18.52,95,91,6.11,RU,1602452678
33,kuytun,54.34,101.5,22.06,94,91,11.86,RU,1602452442
34,danjiangkou,32.54,111.51,63.75,79,100,2.59,CN,1602452678
35,talnakh,69.49,88.4,24.8,92,40,22.37,RU,1602452679
36,payo,-3.75,103.64,72.86,93,100,1.61,ID,1602452679
37,maroantsetra,-15.43,49.73,74.43,89,44,1.86,MG,1602452679
38,nushki,29.55,66.02,47.12,45,0,1.81,PK,1602452679
39,wloclawek,52.65,19.07,47.03,69,99,2.77,PL,1602452679
40,kavaratti,10.57,72.64,81.41,81,100,19.24,IN,1602452679
41,saldanha,-33.01,17.94,50.0,57,11,3.36,ZA,1602452679
42,cabo san lucas,-8.28,-35.03,80.6,69,20,4.7,BR,1602452679
43,marysville,48.05,-122.18,53.01,87,90,13.87,US,1602452679
44,vaini,-21.2,-175.2,77.0,78,20,10.29,TO,1602452680
45,port elizabeth,-7.03,29.76,76.53,62,63,3.15,CD,1602452680
46,namatanai,-3.67,152.43,82.49,74,31,3.31,PG,1602452680
47,severo-kurilsk,50.68,156.12,46.8,74,1,5.01,RU,1602452680
48,nikolskoye,59.7,30.79,53.6,87,90,2.86,RU,1602452680
49,atuona,-9.8,-139.03,78.49,71,3,19.89,PF,1602452680
50,hilo,19.73,-155.09,86.0,55,1,6.93,US,1602452680
51,port lincoln,-7.03,29.76,76.53,62,63,3.15,CD,1602452680
52,ushuaia,-54.8,-68.3,48.2,57,20,25.28,AR,1602452681
53,mataura,-46.19,168.86,51.01,85,100,7.0,NZ,1602452681
54,yichang,30.71,111.28,64.0,81,100,0.63,CN,1602452396
55,vila franca do campo,42.03,-8.16,51.01,76,2,10.0,PT,1602452681
56,chuy,-33.7,-53.46,61.52,76,46,10.02,UY,1602452681
57,arraial do cabo,-22.84,-46.65,73.4,46,0,16.11,BR,1602452681
58,bluff,-46.6,168.33,51.01,85,89,7.0,NZ,1602452681
59,lindi,-10.0,39.72,77.0,94,5,9.17,TZ,1602452681
60,tahta,26.77,31.5,82.4,58,0,13.87,EG,1602452681
61,aguimes,27.91,-15.45,75.0,83,20,21.92,ES,1602452682
62,waipawa,-41.41,175.52,57.2,93,46,14.99,NZ,1602452682
63,menongue,-14.66,17.69,64.78,27,8,0.94,AO,1602452682
64,fairbanks,64.84,-147.72,34.0,55,90,8.05,US,1602452432
65,dikson,73.51,80.55,37.09,99,100,19.42,RU,1602452682
66,salalah,17.02,54.09,77.0,83,12,2.24,OM,1602452682
67,westport,41.14,-73.36,64.4,39,40,9.17,US,1602452479
68,pisco,-13.7,-76.22,69.8,68,5,16.11,PE,1602452682
69,sao filipe,20.51,76.21,69.67,80,100,5.01,IN,1602452682
70,ixtapa,20.7,-105.2,87.8,62,40,11.41,MX,1602452683
71,kyshtovka,56.55,76.63,43.66,96,100,6.55,RU,1602452683
72,bengkulu,-3.8,102.27,75.2,86,100,4.94,ID,1602452683
73,petukhovo,55.07,67.9,42.78,91,51,7.09,RU,1602452683
74,bani,18.28,-70.33,79.0,88,75,4.7,DO,1602452683
75,mar del plata,43.4,-4.01,59.0,87,75,4.7,ES,1602452683
76,esil,51.96,66.4,45.3,68,71,5.59,KZ,1602452424
77,tarko-sale,64.92,77.78,34.27,94,100,19.3,RU,1602452683
78,elk point,53.83,22.36,45.84,81,70,6.42,PL,1602452684
79,punta arenas,8.99,125.34,78.24,80,100,2.04,PH,1602452684
80,barrow,71.29,-156.79,24.8,68,90,12.75,US,1602452684
81,marsh harbour,53.65,-1.81,46.99,86,91,3.83,GB,1602452684
82,busselton,-33.65,115.33,46.99,83,0,6.22,AU,1602452653
83,kruisfontein,-34.0,24.73,53.01,83,0,1.99,ZA,1602452684
84,bredasdorp,-34.53,20.04,55.4,71,20,8.05,ZA,1602452685
85,port alfred,-7.03,29.76,76.53,62,63,3.15,CD,1602452685
86,iqaluit,63.75,-68.51,35.6,92,75,17.22,CA,1602452685
87,sirohi,24.88,72.87,75.74,37,0,2.24,IN,1602452685
88,ust-ishim,57.69,71.17,41.34,95,95,4.97,RU,1602452685
89,carnarvon,-24.87,113.63,64.4,93,3,16.11,AU,1602452685
90,yuryuzan,54.86,58.42,39.42,73,90,4.79,RU,1602452685
91,nemuro,43.32,145.57,57.69,84,62,15.39,JP,1602452685
92,grand river south east,38.88,-109.5,70.0,25,1,14.99,US,1602452685
93,schoningen,52.14,10.97,48.99,84,4,5.01,DE,1602452686
94,upernavik,72.79,-56.15,36.32,82,100,9.35,GL,1602452686
95,victoria,22.29,114.16,79.0,79,66,3.0,HK,1602452635
96,hobart,-42.88,147.33,48.99,81,75,9.17,AU,1602452490
97,maltahohe,-24.83,16.98,55.29,31,0,7.94,NA,1602452686
98,souillac,-20.52,57.52,73.4,88,75,3.36,MU,1602452686
99,lagoa,39.05,-27.98,67.6,72,4,18.12,PT,1602452687
100,porterville,36.07,-119.02,80.01,47,1,8.05,US,1602452502
101,port keats,-7.03,29.76,76.53,62,63,3.15,CD,1602452687
102,xining,36.62,101.77,37.36,78,83,1.81,CN,1602452687
103,teguldet,57.31,88.17,25.34,98,100,6.15,RU,1602452687
104,ulladulla,-35.35,150.47,60.8,93,40,1.88,AU,1602452489
105,melfort,52.87,-104.62,50.0,53,90,32.21,CA,1602452687
106,lebu,-37.62,-73.65,53.91,62,0,22.1,CL,1602452687
107,san quintin,13.3,-4.9,83.21,53,2,6.53,ML,1602452688
108,orangeburg,33.49,-80.86,87.8,45,1,11.41,US,1602452688
109,butaritari,3.07,172.79,80.96,74,24,13.71,KI,1602452688
110,nelson bay,-41.28,173.28,66.0,74,88,1.01,NZ,1602452391
111,cherskiy,68.75,161.3,19.81,93,37,7.87,RU,1602452688
112,yumen,40.28,97.2,33.67,72,4,6.15,CN,1602452395
113,haines junction,59.23,-135.44,48.2,81,90,12.75,US,1602452688
114,rawson,-43.3,-65.1,67.21,26,0,1.52,AR,1602452689
115,antsohihy,-14.88,47.99,78.4,79,95,1.88,MG,1602452689
116,miyakonojo,31.73,131.07,69.8,88,75,5.82,JP,1602452689
117,chernyshevskiy,63.01,112.47,18.19,97,10,2.48,RU,1602452689
118,palana,59.12,159.97,32.79,90,0,8.61,RU,1602452689
119,rio pardo,38.3,21.78,50.0,92,0,3.53,GR,1602452689
120,longyearbyen,78.22,15.64,23.0,73,40,8.05,SJ,1602452618
121,kashi,39.45,75.98,50.0,53,75,8.95,CN,1602452458
122,olinda,-8.01,-34.86,80.6,69,20,4.7,BR,1602452689
123,khatanga,71.97,102.5,23.77,98,100,13.2,RU,1602452689
124,kondinskoye,59.65,67.41,43.97,94,73,9.08,RU,1602452690
125,hit,33.64,42.83,71.22,21,0,3.98,IQ,1602452690
126,karpathos,35.51,27.21,68.0,77,0,4.7,GR,1602452690
127,nayoro,44.35,142.46,51.17,80,72,2.64,JP,1602452587
128,male,4.17,73.51,81.99,80,100,17.81,MV,1602452690
129,kandrian,-6.22,149.55,79.99,85,100,5.86,PG,1602452690
130,limon,10.0,-83.03,86.0,74,20,5.82,CR,1602452690
131,makakilo city,21.35,-158.09,84.2,62,75,8.05,US,1602452462
132,vanderhoof,54.02,-124.02,49.51,51,65,4.29,CA,1602452691
133,oussouye,12.48,-16.55,82.4,88,45,2.24,SN,1602452691
134,marawi,8.0,124.29,75.0,91,100,4.0,PH,1602452691
135,toora-khem,52.47,96.11,24.71,95,100,0.94,RU,1602452691
136,novyy nekouz,45.01,38.98,61.0,82,40,4.47,RU,1602452691
137,port macquarie,-7.03,29.76,76.53,62,63,3.15,CD,1602452680
138,necochea,-38.55,-58.74,51.01,95,88,5.99,AR,1602452691
139,acajutla,13.59,-89.83,89.6,52,20,4.7,SV,1602452692
140,east london,65.0,-15.0,44.6,81,90,11.41,IS,1602452692
141,hasaki,35.73,140.83,66.2,93,75,11.41,JP,1602452692
142,avarua,-21.21,-159.78,73.4,88,25,3.36,CK,1602452692
143,hithadhoo,-0.6,73.08,81.99,75,100,11.92,MV,1602452692
144,mercedes,-34.65,-59.43,64.99,32,56,11.99,AR,1602452692
145,lazaro cardenas,19.46,-71.33,84.99,73,100,5.01,DO,1602452692
146,inhambupe,-11.78,-38.35,74.25,84,0,12.37,BR,1602452692
147,airai,-8.93,125.41,60.4,74,1,3.49,TL,1602452692
148,puri,19.8,85.85,80.6,94,40,5.82,IN,1602452693
149,san patricio,13.3,-4.9,83.21,53,2,6.53,ML,1602452644
150,fukue,32.69,128.84,68.34,75,25,18.88,JP,1602452693
151,bilma,18.69,12.92,83.37,15,0,4.54,NE,1602452693
152,sur,22.57,59.53,78.58,71,0,5.12,OM,1602452693
153,baker city,30.59,-91.17,87.8,55,20,11.41,US,1602452693
154,ilulissat,69.22,-51.1,37.4,86,100,11.41,GL,1602452693
155,libreville,0.39,9.45,80.6,83,40,6.93,GA,1602452694
156,salto,-31.38,-57.97,75.2,36,0,14.99,UY,1602452505
157,provideniya,64.38,-173.3,39.2,84,75,15.66,RU,1602452694
158,ajdabiya,30.76,20.23,68.83,57,96,7.36,LY,1602452694
159,abohar,30.15,74.18,72.79,21,0,1.03,IN,1602452694
160,ribeira grande,42.75,-8.44,54.0,81,20,5.82,ES,1602452694
161,deputatskiy,69.3,139.9,14.34,98,100,1.48,RU,1602452694
162,mirnyy,62.54,113.96,21.2,92,75,6.71,RU,1602452694
163,saint-philippe,-21.36,55.77,71.01,77,34,5.82,RE,1602452694
164,kautokeino,69.01,23.04,39.11,87,100,4.56,NO,1602452695
165,fuerte olimpo,17.54,120.36,79.36,83,100,6.76,PH,1602452695
166,ancud,-41.87,-73.82,59.0,62,0,8.05,CL,1602452695
167,bethel,41.37,-73.41,61.0,44,75,6.93,US,1602452695
168,qaanaaq,77.48,-69.36,31.26,84,90,8.48,GL,1602452695
169,ponta do sol,38.73,-28.27,64.09,80,24,15.7,PT,1602452695
170,bereda,43.27,-7.54,52.0,98,15,1.01,ES,1602452695
171,neuquen,-38.95,-68.06,75.2,16,0,9.17,AR,1602452695
172,port blair,-7.03,29.76,76.53,62,63,3.15,CD,1602452685
173,kahului,20.89,-156.47,87.8,58,40,20.8,US,1602452414
174,safaga,26.73,33.94,82.4,42,1,6.93,EG,1602452697
175,prince george,52.97,-108.38,44.6,65,75,21.92,CA,1602452697
176,nagornyy,52.8,83.55,37.4,93,75,8.95,RU,1602452697
177,altay,47.87,88.12,30.92,83,99,1.92,CN,1602452697
178,randudongkal,-7.1,109.32,63.0,84,65,3.15,ID,1602452697
179,saint-augustin,51.23,-58.65,35.13,83,82,11.81,CA,1602452697
180,tiksi,71.69,128.87,10.99,94,47,7.29,RU,1602452698
181,san buenaventura,13.3,-4.9,83.21,53,2,6.53,ML,1602452688
182,tasiilaq,65.61,-37.64,35.6,95,100,4.7,GL,1602452698
183,kodiak,57.79,-152.41,42.8,81,90,6.93,US,1602452698
184,torbay,47.67,-52.73,55.0,93,90,9.17,CA,1602452698
185,flin flon,48.5,6.66,46.4,87,68,4.7,FR,1602452698
186,broome,42.25,-75.83,61.0,54,1,4.7,US,1602452429
187,isangel,-19.55,169.27,80.6,83,75,11.41,VU,1602452699
188,changji,44.02,87.32,42.8,52,0,6.71,CN,1602452699
189,avera,33.19,-82.53,75.99,100,90,13.87,US,1602452699
190,nanortalik,60.14,-45.24,38.43,82,100,20.15,GL,1602452699
191,thinadhoo,0.53,72.93,82.08,75,90,10.71,MV,1602452699
192,cockburn town,-32.08,141.0,59.0,51,30,8.05,AU,1602452700
193,aklavik,68.22,-135.01,28.4,63,75,18.34,CA,1602452700
194,aberdeen,57.14,-2.1,46.4,87,90,4.7,GB,1602452450
195,skjervoy,70.03,20.97,42.8,93,75,4.7,NO,1602452700
196,onda,39.97,-0.25,64.4,50,0,5.82,ES,1602452701
197,sinnamary,5.38,-52.95,81.32,75,34,10.74,GF,1602452409
198,ostrovnoy,68.05,39.51,42.67,88,89,6.17,RU,1602452701
199,faanui,-16.48,-151.75,78.73,81,0,15.41,PF,1602452701
200,sanming,26.25,117.62,63.34,83,0,1.79,CN,1602452701
201,constitucion,-35.33,-72.42,61.54,62,0,14.18,CL,1602452427
202,placerville,38.73,-120.8,77.0,49,1,6.93,US,1602452702
203,shubarshi,48.59,57.19,42.75,55,6,3.51,KZ,1602452702
204,mehamn,71.04,27.85,39.2,93,90,5.82,NO,1602452702
205,iracoubo,5.48,-53.2,81.82,74,24,11.83,GF,1602452702
206,pangody,65.85,74.49,36.68,97,100,12.91,RU,1602452702
207,gravdal,68.12,13.5,46.4,81,75,13.87,NO,1602452702
208,udon thani,48.71,-0.13,50.0,87,90,6.93,FR,1602452703
209,tautira,-17.73,-149.15,86.0,66,20,19.46,PF,1602452703
210,portland,45.52,-122.68,57.2,87,90,16.11,US,1602451839
211,karasjok,69.47,25.51,37.4,93,53,4.7,NO,1602452703
212,boddam,57.47,-1.78,50.0,87,90,4.7,GB,1602452704
213,dourados,-22.22,-54.81,80.35,40,0,8.37,BR,1602452704
214,muisne,0.6,-80.03,76.32,84,48,11.56,EC,1602452704
215,galle,6.04,80.22,80.04,83,99,17.25,LK,1602452704
216,villa del rosario,46.2,10.13,51.01,81,100,8.75,IT,1602452705
217,lusaka,-15.41,28.29,73.4,56,100,3.36,ZM,1602452695
218,leningradskiy,69.38,178.42,29.14,97,100,0.89,RU,1602452705
219,bambous virieux,-20.26,57.41,73.4,88,75,3.36,MU,1602452705
220,vallenar,-28.57,-70.76,72.5,38,0,5.68,CL,1602452706
221,gurupi,-11.73,-49.07,77.9,64,67,4.27,BR,1602452423
222,mwene-ditu,-7.0,23.45,69.46,74,3,1.32,CD,1602452706
223,pevek,69.7,170.31,27.86,94,64,2.21,RU,1602452706
224,sudak,44.85,34.97,65.71,84,28,6.58,UA,1602452706
225,mys shmidta,62.06,48.62,47.37,94,100,1.41,RU,1602452706
226,venice,27.1,-82.45,86.0,74,1,8.05,US,1602452707
227,samarai,-10.62,150.67,79.43,87,11,6.67,PG,1602452707
228,grindavik,63.84,-22.43,44.6,93,90,13.87,IS,1602452438
229,bonavista,48.65,-53.11,53.01,87,97,15.01,CA,1602452707
230,lavrentiya,65.58,-171.0,37.45,79,99,14.88,RU,1602452437
231,saskylakh,71.92,114.08,16.2,95,85,7.56,RU,1602452707
232,boromo,11.75,-2.93,79.45,72,30,4.97,BF,1602452708
233,mount isa,53.66,-1.85,46.99,86,91,3.69,GB,1602452708
234,onega,63.91,38.14,44.02,93,100,5.37,RU,1602452708
235,labuhan,-6.88,112.21,79.05,79,10,7.16,ID,1602452708
236,katsuura,35.13,140.3,68.0,88,75,10.29,JP,1602452709
237,lorengau,-2.02,147.27,83.01,80,99,9.26,PG,1602452709
238,tefe,-3.35,-64.71,89.6,62,20,2.24,BR,1602452709
239,sangar,63.92,127.47,20.23,86,88,6.76,RU,1602452709
240,college,64.86,-147.8,34.0,55,75,9.17,US,1602452710
241,byron bay,44.03,-92.65,73.4,53,1,14.99,US,1602452710
242,mataram,-8.58,116.12,77.0,100,75,8.05,ID,1602452710
243,alice springs,27.75,-98.07,96.8,34,1,12.75,US,1602452710
244,georgetown,5.41,100.34,78.8,94,20,3.36,MY,1602452710
245,khorramshahr,30.44,48.17,71.6,40,0,4.7,IR,1602452710
246,ust-tsilma,65.44,52.15,46.42,88,99,7.0,RU,1602452711
247,mahebourg,-20.41,57.7,73.4,88,75,3.36,MU,1602452711
248,kaduna,10.52,7.44,73.09,78,14,4.61,NG,1602452711
249,sabzevar,36.21,57.68,39.92,56,0,10.09,IR,1602452711
250,esperance,-33.87,121.9,46.4,100,0,0.43,AU,1602452442
251,rafraf,37.19,10.18,64.4,68,75,11.41,TN,1602452711
252,asfi,32.3,-9.24,68.58,77,0,10.76,MA,1602452711
253,vigia del fuerte,-0.86,-48.14,75.2,88,75,8.05,BR,1602452712
254,puerto colombia,36.59,-6.23,66.2,88,0,2.24,ES,1602452678
255,alta gracia,69.97,23.27,42.8,87,86,3.36,NO,1602452712
256,belmonte,-15.86,-38.88,73.4,88,90,10.29,BR,1602452712
257,oistins,13.07,-59.53,84.2,74,40,11.41,BB,1602452712
258,bethanien,-26.5,17.16,52.5,36,0,0.94,NA,1602452713
259,isheyevka,54.42,48.27,44.6,52,97,8.95,RU,1602452713
260,cicero dantas,41.85,-87.75,69.01,63,75,10.29,US,1602452429
261,belyy yar,55.84,32.94,47.93,93,100,3.53,RU,1602452713
262,maturin,9.75,-63.18,78.4,90,98,5.17,VE,1602452713
263,eyl,7.98,49.82,79.3,82,26,5.93,SO,1602452713
264,biu,10.61,12.19,73.51,66,3,3.4,NG,1602452714
265,cidreira,-30.18,-50.21,64.44,78,0,17.4,BR,1602452714
266,kochkurovo,54.04,45.42,47.01,51,100,9.62,RU,1602452714
267,pangnirtung,66.15,-65.71,35.58,82,81,3.38,CA,1602452418
268,moron,-34.65,-58.62,64.99,55,50,9.17,AR,1602452714
269,laguna,38.42,-121.42,82.0,22,1,10.29,US,1602452714
270,palu,-0.89,119.87,75.27,80,98,3.15,ID,1602452715
271,caravelas,-17.71,-39.25,72.99,83,97,11.21,BR,1602452715
272,coquimbo,-29.95,-71.34,57.2,76,75,8.05,CL,1602452602
273,saint-pierre,-21.34,55.48,71.01,77,1,5.82,RE,1602452715
274,seoul,37.57,126.98,55.4,100,90,2.01,KR,1602452685
275,novoagansk,61.94,76.66,32.95,96,100,9.48,RU,1602452716
276,suicheng,33.9,117.93,62.19,63,100,5.84,CN,1602452716
277,kapaa,22.08,-159.32,86.0,66,40,12.75,US,1602452681
278,mbandaka,0.05,18.26,71.56,92,96,2.28,CD,1602452716
279,nanzhou,29.36,112.4,62.13,88,1,8.28,CN,1602452716
